#Output of PITOT3 condition builder version 09-Jan-2023
driver_condition,area_ratio,test_gas_gas_model,test_gas_name,accelerator_gas_gas_model,accelerator_gas_name,p1,p5,vs1,vs2,Ht,h,Ue,pitot_p,total_p,p2,T2,rho2,v2,M2,a2,gamma2,R2,Ht2,h2,p3,T3,rho3,v3,M3,a3,p7,T7,rho7,v7,M7,a7,p6,T6,rho6,v6,M6,a6,p8,T8,rho8,v8,M8,a8,gamma8,R8,unit_Re8,p10f,T10f,rho10f,v10f,M10f,a10f,p10e,T10e,rho10e,v10e,M10e,a10e,unit_Re10e,p10c,T10c,rho10c,v10c,M10c,a10c,p10w,T10w,rho10w,v10w,M10w,a10w,s2 Xe-,s2 XN-,s2 XO2+,s2 XN,s2 XN2,s2 XO+,s2 XN2O,s2 XN2+,s2 XO,s2 XO2,s2 XNO,s2 XO-,s2 XN+,s2 XNO2,s2 XNO+,s7 Xe-,s7 XN-,s7 XO2+,s7 XN,s7 XN2,s7 XO+,s7 XN2O,s7 XN2+,s7 XO,s7 XO2,s7 XNO,s7 XO-,s7 XN+,s7 XNO2,s7 XNO+,s8 Xe-,s8 XN-,s8 XO2+,s8 XN,s8 XN2,s8 XO+,s8 XN2O,s8 XN2+,s8 XO,s8 XO2,s8 XNO,s8 XO-,s8 XN+,s8 XNO2,s8 XNO+,s10e Xe-,s10e XN-,s10e XO2+,s10e XN,s10e XN2,s10e XO+,s10e XN2O,s10e XN2+,s10e XO,s10e XO2,s10e XNO,s10e XO-,s10e XN+,s10e XNO2,s10e XNO+
x2-lwp-2.5mm-100He-0-empirical,5.64,CEAGas,n2-o2-with-ions,CEAGas,air13species,1500.0,0.1,6573.903722031538,16686.847576572138,144695799.99993,3912530.0,17011.51374804312,5829.3275351253305,223474350000.0003,698000.0,7342.953158641842,0.2273452730207431,6069.118046258839,3.2272243147180895,1880.6,1.0428548535713857,418.1087197023031,39897799.99993,21480700.0,698000.0000000003,637.67,0.52694,6069.107333004991,4.084740431420777,1485.8,107.12052251852269,2702.33,0.00012028,16686.84757657212,16.626990411092187,1003.6,310.72,11486.651399399698,2.591277475774996e-05,15934.570928425013,4.266969507397444,3734.4,15.416131502913482,2326.79,2.1208e-05,16779.955960721436,18.69216437643025,897.7,1.3205738390123647,312.3993988352433,4485.483702828155,5848.399419291235,20488.001510653918,0.0009137496810248507,389.4678440687881,0.1508098057883602,2582.510083033659,5668.4,13708.012063272914,0.00039766220919744996,894.9035080129568,0.21725704838750132,4119.1,6299.798297278767,426.51,4798.41,0.0002278062894039368,16150.662361751336,11.21418022618479,1440.2,4177.5,12059.602911353588,0.0003966513130624498,8649.936096512685,2.482760073625914,3484.0,0.0,0.0,6.546580354700257e-07,0.3401576916761264,0.36990853448706695,4.157715346990472e-05,1.2741411589355824e-06,1.8430834142075234e-05,0.28003023863394877,0.00021283789642111579,0.00851146593525983,2.4877465918859266e-06,5.69398488724033e-05,0.0,0.0004827493775035242,0.0,0.0,0.0,4.178985978139033e-05,0.68349593301777,0.0,0.0,0.0,0.2510221952073203,0.050811534620048254,0.014633208447615651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.570024488280608e-06,0.723030667466284,0.0,0.0,0.0,0.15499660143505378,0.11047302711351674,0.011519291244113697,0.0,0.0,0.0,0.0,0.4457138926578577,0.0,0.0,0.07716445129830724,0.0,0.08497359504195408,0.0,3.6853212308119404e-07,0.031428457067140016,0.0,0.0,0.0,0.3607409555775614,0.0,3.256701224960658e-07
x2-lwp-2.5mm-100He-0-empirical,5.64,CEAGas,n2-o2-with-ions,CEAGas,air13species,1500.0,100.0,6573.903722031538,9658.690604620775,61836799.99993,11111800.0,11120.863275836999,480073.191007295,872616850.2025639,698000.0,7342.953158641842,0.2273452730207431,6069.118046258839,3.2272243147180895,1880.6,1.0428548535713857,418.1087197023031,39897799.99993,21480700.0,698000.0000000003,637.67,0.52694,6069.107333004991,4.084740431420777,1485.8,64985.22296369629,5941.43,0.028518,9658.69060462078,5.998814113794659,1610.1,102010.0,9770.390185526978,0.018001583721245613,9031.896732534879,3.4240263600481,2637.8,8640.892915402786,4935.71,0.0048488,10072.234319940622,7.049436114180167,1428.8,1.3583947417741942,361.0608824040299,336397.91824306437,473850.49098805076,14688.225668920722,0.08934938331724396,546.5914204208661,0.22893767711034924,2387.511864888041,458779.99999999994,12785.719639417835,0.057112783905255746,855.1194046423257,0.2759696006720215,3098.6,174696.84422137678,44396.0,5885.03,0.019484157580972966,9625.494465636315,5.987493447148741,1607.6,372710.0,11235.428266166015,0.05573206025904648,4453.50302365481,1.5606612782642313,2853.6,0.0,0.0,6.546580354700257e-07,0.3401576916761264,0.36990853448706695,4.157715346990472e-05,1.2741411589355824e-06,1.8430834142075234e-05,0.28003023863394877,0.00021283789642111579,0.00851146593525983,2.4877465918859266e-06,5.69398488724033e-05,0.0,0.0004827493775035242,0.0,0.0,0.0,0.1881765740681245,0.4961961496997864,5.0366642570353524e-06,0.0,1.114640678813582e-06,0.30857148830581144,0.00017694792367213772,0.006467265009448078,0.0,2.4890491973405338e-06,0.0,0.00020737184586449558,0.0,0.0,0.0,0.0743037589153762,0.5906076077877016,0.0,0.0,0.0,0.32916881883070614,0.00022462497468655072,0.005550154668550728,0.0,0.0,0.0,6.782486683447516e-05,0.0834139230215293,3.1628008943883526e-05,7.295641161191702e-07,0.6515099702285334,0.0006217477135942084,0.011620286191294956,0.0,8.443197895948572e-05,0.180907292773479,1.5059616048101806e-06,5.39087658842702e-05,1.2886648898359586e-05,0.07169016336636201,0.0,6.334825828263233e-05
